LabelNr,English,Dutch
502,Top mold B - Position down slow,Spare502
503,Top mold B - Position down stop,Spare503
504,Transfermold - Position transfer slow,Spare504
505,Transfermold - Position Transfer stop A,Spare505
506,Transfermold - Position Transfer stop B,Spare506
507,Transfermold - Position Transfer open,Spare507
508,Transfermold - Position down slow,Spare508
509,Transfermold - Position down open,Spare509
510,Transfermold - Position down stop,Spare510
511,Spare511,Spare511
512,Spare512,Spare512
513,Spare513,Spare513
514,Spare514,Spare514
515,Spare515,Spare515
516,Spare516,Spare516
517,Spare517,Spare517
518,Spare518,Spare518
519,Spare519,Spare519
520,Spare520,Spare520
521,Spare521,Spare521
522,Spare522,Spare522
523,Spare523,Spare523
524,Spare524,Spare524
525,Spare525,Spare525
526,Spare526,Spare526
527,Spare527,Spare527
528,Spare528,Spare528
529,Spare529,Spare529
530,Spare530,Spare530
531,Spare531,Spare531
532,Spare532,Spare532
533,Spare533,Spare533
534,Spare534,Spare534
535,Spare535,Spare535
536,Spare536,Spare536
537,Spare537,Spare537
538,Spare538,Spare538
539,Spare539,Spare539
540,Spare540,Spare540
541,Spare541,Spare541
542,Spare542,Spare542
543,Spare543,Spare543
544,Spare544,Spare544
545,Spare545,Spare545
546,Spare546,Spare546
547,Spare547,Spare547
548,Spare548,Spare548
549,Spare549,Spare549
550,Spare550,Spare550
551,Spare551,Spare551
552,Spare552,Spare552
553,Spare553,Spare553
554,Spare554,Spare554
555,Spare555,Spare555
556,Spare556,Spare556
557,Spare557,Spare557
558,Spare558,Spare558
559,Spare559,Spare559
560,Spare560,Spare560
561,Spare561,Spare561
562,Spare562,Spare562
563,Spare563,Spare563
564,Spare564,Spare564
565,Spare565,Spare565
566,Spare566,Spare566
567,Spare567,Spare567
568,Spare568,Spare568
569,Spare569,Spare569
570,Spare570,Spare570
571,Spare571,Spare571
572,Spare572,Spare572
573,Spare573,Spare573
574,Spare574,Spare574
575,Spare575,Spare575
576,Spare576,Spare576
577,Spare577,Spare577
578,Spare578,Spare578
579,Spare579,Spare579
580,Spare580,Spare580
581,Spare581,Spare581
582,Spare582,Spare582
583,Spare583,Spare583
584,Spare584,Spare584
585,Spare585,Spare585
586,Spare586,Spare586
